"presenca" "NM_MUNICIP" "lat" "lon"
"93" "Absent" "BRUMADINHO" -20.1978 -44.1556
"94" "Absent" "BRUMADINHO" -20.1986 -44.1539
"95" "Absent" "ESMERALDAS" -19.80122 -44.15389
"96" "Absent" "BRUMADINHO" -20.1836 -44.1508
"97" "Absent" "ESMERALDAS" -19.80228 -44.14611
"98" "Absent" "CONTAGEM" -19.81331 -44.13861
"99" "Absent" "RIBEIRÃO DAS NEVES" -19.78925 -44.12889
"100" "Absent" "RIBEIRÃO DAS NEVES" -19.76247 -44.12778
"101" "Absent" "RIBEIRÃO DAS NEVES" -19.76286 -44.12667
"102" "Absent" "CONTAGEM" -19.80894 -44.12583
"103" "Absent" "CONTAGEM" -19.84575 -44.12278
"104" "Absent" "RIBEIRÃO DAS NEVES" -19.79406 -44.12167
"105" "Absent" "RIBEIRÃO DAS NEVES" -19.74064 -44.11833
"106" "Absent" "RIBEIRÃO DAS NEVES" -19.7365 -44.11806
"107" "Absent" "CONTAGEM" -19.81014 -44.11611
"108" "Absent" "RIBEIRÃO DAS NEVES" -19.79331 -44.11583
"109" "Absent" "RIBEIRÃO DAS NEVES" -19.74147 -44.11528
"110" "Absent" "RIBEIRÃO DAS NEVES" -19.76317 -44.11472
"111" "Absent" "PEDRO LEOPOLDO" -19.72706 -44.11417
"112" "Absent" "BRUMADINHO" -20.2733 -44.1139
"113" "Absent" "PEDRO LEOPOLDO" -19.72664 -44.11389
"114" "Absent" "RIBEIRÃO DAS NEVES" -19.73575 -44.11361
"115" "Absent" "BRUMADINHO" -20.1875 -44.1131
"116" "Absent" "CONTAGEM" -19.81244 -44.11306
"117" "Absent" "RIBEIRÃO DAS NEVES" -19.75328 -44.11278
"118" "Absent" "BRUMADINHO" -20.29953 -44.1119
"119" "Absent" "CONTAGEM" -19.81 -44.11167
"120" "Absent" "RIBEIRÃO DAS NEVES" -19.73222 -44.11139
"121" "Absent" "RIBEIRÃO DAS NEVES" -19.76447 -44.11056
"122" "Absent" "RIBEIRÃO DAS NEVES" -19.76478 -44.10833
"123" "Absent" "PEDRO LEOPOLDO" -19.70653 -44.10667
"124" "Absent" "BRUMADINHO" -20.2764 -44.1061
"125" "Absent" "PEDRO LEOPOLDO" -19.72367 -44.09972
"126" "Absent" "PEDRO LEOPOLDO" -19.73267 -44.09806
"127" "Absent" "RIBEIRÃO DAS NEVES" -19.74042 -44.09778
"128" "Absent" "PEDRO LEOPOLDO" -19.71456 -44.09667
"129" "Absent" "RIBEIRÃO DAS NEVES" -19.77814 -44.09639
"130" "Absent" "BRUMADINHO" -20.2306 -44.0942
"131" "Absent" "RIBEIRÃO DAS NEVES" -19.79653 -44.09139
"132" "Absent" "BRUMADINHO" -20.2431 -44.0896
"133" "Absent" "BRUMADINHO" -20.2447 -44.0892
"134" "Absent" "RIBEIRÃO DAS NEVES" -19.7855 -44.08583
"135" "Absent" "BRUMADINHO" -20.2144 -44.0858
"136" "Absent" "BRUMADINHO" -20.2164 -44.0831
"137" "Absent" "BRUMADINHO" -20.2869 -44.0825
"138" "Absent" "BRUMADINHO" -20.2544 -44.0808
"139" "Absent" "RIBEIRÃO DAS NEVES" -19.73386 -44.07889
"140" "Absent" "RIBEIRÃO DAS NEVES" -19.81797 -44.0775
"141" "Absent" "PEDRO LEOPOLDO" -19.71947 -44.075
"142" "Absent" "PEDRO LEOPOLDO" -19.71585 -44.0725
"143" "Absent" "RIBEIRÃO DAS NEVES" -19.8165 -44.06444
"144" "Absent" "PEDRO LEOPOLDO" -19.74247 -44.06333
"145" "Absent" "BRUMADINHO" -20.27 -44.0575
"146" "Absent" "BRUMADINHO" -20.29778 -44.0494
"147" "Absent" "BRUMADINHO" -20.30083 -44.0489
"148" "Present" "ITAPECERICA" -20.40083 -45.1667
"149" "Present" "RIO MANSO" -20.30278 -44.3087
"150" "Present" "DESTERRO DE ENTRE RIOS" -20.59667 -44.2953
"151" "Present" "ESMERALDAS" -19.70319 -44.24778
"152" "Absent" "BONFIM" -20.2964 -44.2425
"153" "Absent" "BONFIM" -20.30289 -44.2342
"154" "Absent" "BONFIM" -20.31417 -44.2045
"155" "Present" "BONFIM" -20.3864 -44.1969
"156" "Absent" "BONFIM" -20.27 -44.1964
"157" "Present" "BONFIM" -20.27364 -44.1929
"158" "Present" "BONFIM" -20.36861 -44.1911
